maxtempF,mintempF,avgtempF,totalSnow_cm,humid,wind,precip,sunHour,lat,long,had_wildfire
65.32258065,42.70967742,57.38709677,0,52.74193548,6.419354839,0.138709677,10.28387097,40.65,-123.11,1
71.87096774,48.19354839,63.16129032,0,49.93548387,6.35483871,0.083870968,10.51290323,39.43,-123.44,0
80.06451613,56.87096774,72.12903226,0,19.35483871,6.161290323,0.003225806,10.88064516,36.56,-117.4,0
59.4516129,29.5483871,49.29032258,0.212903226,41.48387097,5.258064516,0.016129032,10.6,37.92,-118.88,0
64.25806452,41.41935484,56.19354839,0.061290323,37.19354839,7.161290323,0.061290323,10.76129032,38.02,-119.96,0
79.93548387,53.64516129,70,0,41.16129032,5.290322581,0.009677419,10.77419355,38.27,-121.94,0
82,51.58064516,70.93548387,0,23.41935484,7.612903226,0.003225806,10.73225806,34.86,-116.18,1
79.35483871,54.5483871,69.70967742,0,43.90322581,4.935483871,0.006451613,10.83225806,37.92,-121.95,0
59.38709677,35.96774194,51.80645161,0.203225806,45.25806452,6.064516129,0.041935484,10.72258065,38.62,-119.8,0
68.90322581,46.77419355,60.83870968,0,38.5483871,6.806451613,0.061290323,10.75806452,38.79,-120.53,0
78.67741935,53.35483871,69.12903226,0,38.35483871,5.64516129,0.041935484,10.62258065,38.68,-121.9,0
77.93548387,53.93548387,68.70967742,0,35.90322581,6.774193548,0.016129032,10.87419355,39.27,-121.34,1
80.77419355,47.5483871,69.03225806,0,41,4.677419355,0.003225806,10.85483871,36.61,-121.09,1
65.12903226,51.16129032,59.83870968,0,63.16129032,10.09677419,0.070967742,10.50322581,40.71,-123.93,1
90.32258065,49.25806452,74.93548387,0,21.93548387,7.483870968,0,10.82903226,33.73,-116,0
83.09677419,41.93548387,66.09677419,0,29.80645161,4.451612903,0.012903226,11.15806452,35.35,-118.73,0
78.22580645,55.06451613,69.58064516,0,36.67741935,5.806451613,0.05483871,10.80645161,39.18,-122.24,0
63.29032258,51.5483871,58.77419355,0,67.74193548,10.12903226,0.077419355,10.29354839,41.75,-123.98,0
60.16129032,39.87096774,52.25806452,0.15483871,45.70967742,7.193548387,0.048387097,10.68064516,41.59,-120.72,0
82.4516129,56.16129032,72.87096774,0,28.25806452,4.774193548,0.006451613,11.11935484,36.76,-119.66,1
74.58064516,46.48387097,64.03225806,0,31.58064516,6.387096774,0.022580645,11.04516129,37.21,-119.75,0
77.80645161,48.93548387,67.29032258,0,46.90322581,4.580645161,0.022580645,10.96774194,37.22,-121.69,1
77.19354839,49,65.64516129,0,38.09677419,7,0.077419355,10.71290323,40.13,-122.23,0
80.83870968,53.74193548,70.74193548,0,39.09677419,5.35483871,0.012903226,10.86451613,37.93,-121.27,0
79.25806452,52.38709677,68.48387097,0,46.96774194,4.806451613,0.029032258,10.88387097,37.65,-121.91,0
